Model,Test R²,Test MAE,Test RMSE
Linear Regression,0.9893602147846875,0.51162134803791,0.7870785684485833
Random Forest,0.5833734037352514,2.0974945701059524,4.92521452832832
Prophet,0.952478416785039,9.285360768129456,10.786810300448133
